Begger	AgeClass	Sex	Mother	FoodItem	Complexity	Rarity	NrBeggingEvents	FollowHours	BeggingFrequency	Site
Cinnamon	1.5	female	Cissy	ASK_LV	0	0.018797165	1	10.5	0.1624204	wild
Frankie	5.5	male	Friska	AAB_FR	1	0.001498066	1	15.5	0.1100324	wild
Frankie	1	male	Friska	ADDG_LV	0	0.000341396	2	148.9	0.0228341	wild
Frankie	5.5	male	Friska	ADDG_LV	0	0.000341396	1	15.5	0.1100324	wild
Lois	3	male	Lisa	AJK_VE	4	0.000244582	1	72.7	0.0233731	wild
Rendang	1	male	Raffi	AKAR_LV	0	0.002338818	1	67.6	0.0251529	wild
Frankie	2	male	Friska	AKAR_LV	0	0.002338818	1	101.7	0.0167241	wild
Dalia	2	female	Dodi	AKAR_LV	0	0.002338818	3	0.0		wild
Eden	3	female	Ellie	AKAR_LV	0	0.002338818	1	55.5	0.0306141	wild
Amor	3	male	Alice	AKAR_VE	4	0.000779606	1	23.2	0.0732759	wild
Frankie	1	male	Friska	AKAR_VE	4	0.000779606	1	148.9	0.0114171	wild
Cinnamon	1.5	female	Cissy	UNK_LV	0	0.00115667	2	10.5	0.3248408	wild
Frankie	5.5	male	Friska	AKAR_NA	0	0.000443305	1	15.5	0.1100324	wild
Fredy	9	male	Friska	AKAR_VE	4	0.000779606	1	0.0		wild
Frankie	5.5	male	Friska	AKAR_VE	4	0.000779606	1	15.5	0.1100324	wild
Lois	0.5	male	Lisa	AKAR_LV	0	0.002338818	1	0.0		wild
Eden	0.5	female	Ellie	AKAR_LV	0	0.002338818	1	128.6	0.0132159	wild
Lois	8	male	Lisa	AKKT_LV	1	0.000173246	1	95.3	0.0178446	wild
Lois	0.5	male	Lisa	APD_LV	0	0.000514642	3	0.0		wild
Frankie	1.5	male	Friska	APKS_LV	0	0.00180889	1	51.4	0.0330632	wild
Eden	2.5	female	Ellie	APKS_LV	0	0.00180889	1	194.2	0.0087531	wild
Eden	3.5	female	Ellie	APKS_LV	0	0.00180889	2	35.4	0.0959548	wild
Lois	0.5	male	Lisa	APKS_VE	1	0.003658543	1	0.0		wild
Frankie	1	male	Friska	APKS_VE	1	0.003658543	1	148.9	0.0114171	wild
Lois	6.5	male	Lisa	APKS_VE	1	0.003658543	1	16.2	0.1048304	wild
Lois	0.5	male	Lisa	APKSB_LV	0	6.6241E-05	1	0.0		wild
Frankie	1.5	male	Friska	APKSB_VE	1	1.01909E-05	1	51.4	0.0330632	wild
Lois	4	male	Lisa	APKSB_VE	1	1.01909E-05	1	162.4	0.0104682	wild
Cinnamon	2	female	Cissy	MLK_FR	2.35	0.246574575	1	5.6	0.3035714	wild
Frankie	6.5	male	Friska	APLO_VE	1	0.000779606	2	35.9	0.0947955	wild
Eden	2.5	female	Ellie	APLO_LV	0	0.002058567	1	194.2	0.0087531	wild
Amor	3	male	Alice	APLS_FR	1	0.000397446	1	23.2	0.0732759	wild
Lois	0.5	male	Lisa	APSB_LV	0	0.001177052	1	0.0		wild
Frankie	1.5	male	Friska	APSB_VE	1	0.001528639	1	51.4	0.0330632	wild
